iter	Passed	Remaining
457	814	963
458	816	962
459	817	960
460	819	957
461	820	955
462	821	952
463	822	950
464	823	948
465	825	945
466	826	943
467	827	940
468	830	939
469	831	938
470	833	935
471	834	933
472	836	932
473	838	930
474	839	928
475	841	925
476	842	923
477	845	922
478	847	921
479	848	919
480	849	916
481	851	914
482	852	912
483	853	910
484	855	908
485	856	905
486	858	904
487	861	903
488	862	901
489	864	899
490	865	897
491	867	895
492	868	893
493	869	890
494	871	888
495	873	887
496	875	886
497	876	883
498	878	881
499	879	879
500	880	876
501	881	874
502	882	872
503	884	869
504	885	867
505	886	865
506	888	864
507	890	862
508	892	860
509	893	858
510	894	856
511	896	854
512	897	852
513	898	849
514	900	847
515	901	845
516	904	845
517	906	843
518	907	841
519	909	839
520	910	836
521	911	834
522	912	832
523	913	830
524	915	828
525	917	827
526	920	825
527	921	824
528	923	821
529	924	819
530	925	817
531	927	815
532	928	813
533	929	811
534	931	809
535	933	807
536	934	806
537	936	804
538	937	801
539	938	799
540	940	797
541	941	795
542	942	793
543	943	791
544	945	789
545	947	787
546	949	786
547	950	784
548	951	782
549	953	779
550	954	777
551	955	775
552	956	773
553	958	771
554	959	769
555	962	768
556	965	767
557	966	765
558	967	763
559	969	761
560	970	759
561	971	757
562	972	755
563	974	753
564	977	752
565	978	750
566	979	748
567	981	746
568	982	743
569	983	742
570	984	739
571	986	737
572	987	736
573	990	735
574	992	733
575	994	731
576	995	729
577	996	727
578	998	725
579	999	723
580	1000	721
581	1002	719
582	1003	717
583	1006	716
584	1008	715
585	1009	713
586	1010	711
587	1011	709
588	1013	706
589	1014	704
590	1015	702
591	1016	700
592	1017	698
593	1019	696
594	1020	694
595	1022	693
596	1023	690
597	1024	688
598	1025	686
599	1027	684
600	1028	682
601	1029	680
602	1030	678
603	1032	676
604	1033	674
605	1034	672
606	1036	670
607	1037	668
608	1038	666
609	1039	664
610	1041	662
611	1042	660
612	1043	658
613	1044	656
614	1045	654
615	1047	652
616	1048	650
617	1050	649
618	1051	647
619	1053	645
620	1054	643
621	1055	641
622	1056	639
623	1057	637
624	1059	635
625	1060	633
626	1061	631
627	1062	629
628	1064	627
629	1066	626
630	1067	624
631	1068	622
632	1069	620
633	1070	618
634	1071	616
635	1073	614
636	1074	612
637	1075	610
638	1076	608
639	1077	606
640	1079	604
641	1081	602
642	1082	600
643	1083	598
644	1084	596
645	1085	594
646	1086	592
647	1087	591
648	1089	589
649	1090	587
650	1091	585
651	1093	583
652	1094	581
653	1096	579
654	1097	577
655	1098	576
656	1099	574
657	1100	572
658	1101	570
659	1103	568
660	1104	566
661	1105	564
662	1106	562
663	1108	561
664	1109	559
665	1111	557
666	1112	555
667	1113	553
668	1114	551
669	1115	549
670	1116	547
671	1118	545
672	1119	543
673	1120	542
674	1122	540
675	1123	538
676	1125	536
677	1126	534
678	1127	533
679	1129	531
680	1130	529
681	1131	527
682	1133	525
683	1134	524
684	1135	522
685	1137	520
686	1139	518
687	1140	517
688	1141	515
689	1142	513
690	1143	511
691	1145	509
692	1146	507
693	1147	505
694	1148	504
695	1151	502
696	1152	501
697	1153	499
698	1155	497
699	1156	495
700	1157	493
701	1158	491
702	1159	490
703	1161	488
704	1162	486
705	1163	484
706	1165	483
707	1167	481
708	1168	479
709	1169	477
710	1170	475
711	1171	473
712	1172	472
713	1173	470
714	1174	468
715	1175	466
716	1177	464
717	1180	463
718	1182	462
719	1183	460
720	1184	458
721	1185	456
722	1186	454
723	1188	452
724	1189	451
725	1190	449
726	1191	447
727	1192	445
728	1194	444
729	1196	442
730	1197	440
731	1198	438
732	1199	437
733	1201	435
734	1202	433
735	1203	431
736	1204	429
737	1205	428
738	1207	426
739	1209	424
740	1210	423
741	1212	421
742	1213	419
743	1214	417
744	1215	416
745	1216	414
746	1218	412
747	1219	410
748	1220	408
749	1221	407
750	1224	405
751	1225	404
752	1227	402
753	1228	400
754	1229	398
755	1230	397
756	1231	395
757	1232	393
758	1233	391
759	1235	390
760	1236	388
761	1238	386
762	1239	385
763	1241	383
764	1242	381
765	1243	379
766	1244	378
767	1245	376
768	1246	374
769	1248	372
770	1249	371
771	1250	369
772	1265	371
773	1267	370
774	1269	368
775	1271	366
776	1272	365
777	1273	363
778	1274	361
779	1275	359
780	1276	358
781	1277	356
782	1279	354
783	1280	352
784	1282	351
785	1284	349
786	1285	348
787	1287	346
788	1288	344
789	1289	342
790	1290	341
791	1291	339
792	1293	337
793	1294	335
794	1295	334
795	1297	332
796	1299	330
797	1300	329
798	1301	327
799	1303	325
800	1304	324
801	1305	322
802	1306	320
803	1307	318
804	1309	317
805	1310	315
806	1312	313
807	1314	312
808	1315	310
809	1316	308
810	1317	307
811	1319	305
812	1320	303
813	1321	301
814	1322	300
815	1323	298
816	1325	296
817	1327	295
818	1328	293
819	1329	291
820	1330	290
821	1332	288
822	1333	286
823	1334	285
824	1335	283
825	1336	281
826	1338	279
827	1339	278
828	1341	276
829	1342	275
830	1344	273
831	1345	271
832	1346	269
833	1347	268
834	1349	266
835	1350	264
836	1351	263
837	1352	261
838	1354	259
839	1356	258
840	1357	256
841	1359	255
842	1360	253
843	1361	251
844	1363	250
845	1364	248
846	1366	246
847	1367	245
848	1368	243
849	1370	241
850	1371	240
851	1372	238
852	1374	236
853	1375	235
854	1376	233
855	1377	231
856	1378	230
857	1380	228
858	1381	226
859	1382	225
860	1383	223
861	1385	221
862	1387	220
863	1388	218
864	1389	216
865	1390	215
866	1391	213
867	1393	211
868	1394	210
869	1395	208
870	1396	206
871	1397	205
872	1399	203
873	1401	202
874	1402	200
875	1403	198
876	1405	197
877	1406	195
878	1407	193
879	1408	192
880	1409	190
881	1410	188
882	1412	187
883	1414	185
884	1415	183
885	1417	182
886	1418	180
887	1419	179
888	1420	177
889	1421	175
890	1423	174
891	1424	172
892	1425	170
893	1426	169
894	1428	167
895	1430	166
896	1431	164
897	1432	162
898	1433	161
899	1435	159
900	1436	157
901	1438	156
902	1439	154
903	1441	153
904	1443	151
905	1444	149
906	1445	148
907	1447	146
908	1448	144
909	1449	143
910	1450	141
911	1451	140
912	1452	138
913	1454	136
914	1455	135
915	1457	133
916	1459	132
917	1460	130
918	1462	128
919	1463	127
920	1464	125
921	1465	124
922	1467	122
923	1468	120
924	1471	119
925	1474	117
926	1475	116
927	1476	114
928	1478	112
929	1479	111
930	1480	109
931	1481	108
932	1483	106
933	1484	104
934	1485	103
935	1487	101
936	1489	100
937	1490	98
938	1491	96
939	1492	95
940	1493	93
941	1495	92
942	1496	90
943	1497	88
944	1498	87
945	1500	85
946	1502	84
947	1503	82
948	1504	80
949	1505	79
950	1507	77
951	1508	76
952	1509	74
953	1510	72
954	1511	71
955	1513	69
956	1514	68
957	1516	66
958	1518	64
959	1519	63
960	1520	61
961	1521	60
962	1523	58
963	1524	56
964	1525	55
965	1526	53
966	1527	52
967	1529	50
968	1531	48
969	1532	47
970	1534	45
971	1535	44
972	1536	42
973	1537	41
974	1538	39
975	1540	37
976	1541	36
977	1542	34
978	1544	33
979	1546	31
980	1547	29
981	1548	28
982	1550	26
983	1551	25
984	1552	23
985	1553	22
986	1554	20
987	1556	18
988	1557	17
989	1562	15
990	1563	14
991	1565	12
992	1566	11
993	1567	9
994	1568	7
995	1570	6
996	1571	4
997	1572	3
998	1574	1
999	1576	0
